Varnummer;Namn;Underrubrik;Prisinklmoms;Volymiml;Saljstart;Varugrupp;Forpackning;Forslutning;Ursprung;Ursprunglandnamn;Producent;Leverantor;Argang;Provadargang;Alkoholhalt;Sortiment;Ekologisk;RavarorBeskrivning;fyllighet;stravhet;fruktsyra;druva;smak;doft
2236;Château Gratien;;71;750;2007-10-01;Rott vin, Kryddigt & Mustigt;Flaska;Naturkork;Loiredalen, Anjou-Saumur, Saumur-Champigny;Frankrike;Gratien & Meyer;Henkell & Co Sverige AB;2011;2011;12.5%;FS;0;Cabernet franc.;7 ;7 ;9 ;Cabernet,franc;Ungdomlig,örtig,smak,inslag,svarta,vinbär,viol,gräs,lakrits ;Ungdomlig,örtig,doft,inslag,svarta,vinbär,viol,peppar,lagerblad
22372;Mezzacorona Marzemino;;69;750;2002-10-07;Rott vin, Mjukt & Barigt;Flaska;Skruvkapsyl;Trentino-Alto Adige, Trentino;Italien;Mezzacorona;Enjoy Wine & Spirits AB;NA;NA;13%;BS;0;;inte testat;inte testat;inte testat;Ingen anged;inte testat;inte testat
22382;Corte Giara;Corvina Veronese;69;750;2014-06-02;Rott vin, Mjukt & Barigt;Flaska;Skruvkapsyl;Venetien, Veronese;Italien;Corte Giara;The WineAgency Sweden AB;2013;2013;13%;FS;0;Corvina.;5 ;5 ;10;Corvina;Bärig,smak,inslag,körsbär,hallon,viol,kryddor ;Bärig,doft,inslag,körsbär,blåbär,viol,kryddor
22409;i Castei;Ripasso;119;750;2003-08-04;Rott vin, Kryddigt & Mustigt;Flaska;Naturkork;Venetien, Valpolicella, Valpolicella Classico, Valpolicella Classico Superiore;Italien;Castellani;Chris-Wine AB;2012;2012;14%;FS;0;75% corvina, 20% rondinella och 5% molinara.;9 ;9 ;9 ;75%,corvina,20%,rondinella,och,molinara;Nyanserad,kryddig,smak,fatkaraktär,inslag,torkade,körsbär,romrussin,kakao,lakrits,örter ;Nyanserad,kryddig,doft,fatkaraktär,inslag,körsbär,korinter,salvia,choklad
2241;Il Cuore Per Martina;Appassimento;69;750;2011-12-30;Rott vin, Kryddigt & Mustigt;Flaska;Naturkork;Venetien;Italien;Cantine Riondo;Brandpartners AB;2012;2012;14%;FS;0;Merlot.;7 ;6 ;9 ;Merlot;Kryddig,fruktig,smak,inslag,körsbär,pinjenötter,jordgubbar,korinter,vanilj ;Kryddig,doft,inslag,mörka,körsbär,korinter,pinjenötter,mynta,vanilj
22467;Piccini;Chianti;79;750;2003-06-02;Rott vin, Mjukt & Barigt;Flaska;Skruvkapsyl;Toscana, Chianti;Italien;Gestioni Piccini;Enjoy Wine & Spirits AB;2013;2013;13%;FS;0;Sangiovese.;6 ;6 ;9 ;Sangiovese;Bärig,smak,inslag,körsbär,slånbär,muskot,kryddor ;Bärig,doft,inslag,körsbär,hallon,muskot,lakrits
2249;Künstler;Pinot Noir Tradition;109;750;2013-09-02;Rott vin, Kryddigt & Mustigt;Flaska;Skruvkapsyl;Rheingau;Tyskland;Künstler;Nigab;2012;2012;13.5%;FS;0;Pinot noir.;5 ;4 ;10;Pinot,noir;Nyanserad,kryddig,smak,fatkaraktär,inslag,jordgubbar,sandelträ,lingon,kanel ;Nyanserad,kryddig,doft,fatkaraktär,inslag,jordgubbar,sandelträ,choklad,tranbär,kanel
22562;Seghesio;Sonoma Zinfandel;189;750;2003-10-06;Rott vin, Fruktigt & Smakrikt;Flaska;Skruvkapsyl;Kalifornien, North Coast, Sonoma County;USA;Seghesio Family Vineyards;Johan Lidby Vinhandel AB;2012;2012;15%;FS;0;Zinfandel.;10;8 ;9 ;Zinfandel;Mycket,fruktig,smak,tydlig,fatkaraktär,inslag,björnbär,hallon,mintchoklad,vanilj ;Mycket,fruktig,doft,tydlig,fatkaraktär,inslag,björnbär,blåbär,mintchoklad,vanilj
2257;Hawk Crest;Cabernet Sauvignon;149;750;2014-12-01;Rott vin, Fruktigt & Smakrikt;Flaska;Naturkork;Kalifornien;USA;Stag's Leap Wine Cellars;Vinunic AB;2007;2007;13.5%;FSN;0;95% cabernet sauvignon och 5% petit verdot.;9 ;9 ;9 ;95%,cabernet,sauvignon,och,petit,verdot;Utvecklad,balanserad,fruktig,smak,fatkaraktär,inslag,svarta,vinbär,ceder,plommon,kakao,örter ;Nyanserad,utvecklad,doft,fatkaraktär,inslag,svarta,vinbär,ceder,körsbärspraliner,plommon,örter
2258;Taurasi;Fatica Contadina Terredora;159;750;2012-10-01;Rott vin, Stramt & Nyanserat;Flaska;Naturkork;Kampanien, Taurasi;Italien;Terredora;Prime Wine Sweden AB;NA;NA;13.5%;BS;0;;inte testat;inte testat;inte testat;Ingen anged;inte testat;inte testat
