nr,Artikelid,Varnummer,Namn,Namn2,Prisinklmoms,Pant,Volymiml,PrisPerLiter,Saljstart,Slutlev,Varugrupp,Forpackning,Forslutning,Ursprung,Ursprunglandnamn,Producent,Leverantor,Argang,Provadargang,Alkoholhalt,Sortiment,Ekologisk,Koscher,RavarorBeskrivning
144912,507968,1449,Spendrups Mellanol,,11.300,1.000,500,22.6,2011-12-27,,"ol, Ljus lager",Burk,,"Dalarnas lan, Ludvika kommun",Sverige,Spendrups,Spendrups Bryggeri AB,,,4.2%,BS,0,0,
145015,740721,1450,Falcon,Koppar,10.900,1.000,330,33.03,2013-12-02,,"ol, Ljus lager",Burk,,,Sverige,Carlsberg Sverige AB,Carlsberg Sverige AB,,,5%,FS,0,0,Kornmalt och humle.
145103,758063,1451,Dugges Hopblack!,,25.000,,330,75.76,2013-09-02,,"ol, Ale",Flaska,,,Sverige,Dugges Ale- & Porterbryggeri,Dugges Ale- & Porterbryggeri AB,,,7%,BS,0,0,
145215,825545,1452,Estrella Galicia,Premium Lager,9.900,1.000,330,30,2014-06-02,,"ol, Ljus lager",Burk,,,Spanien,Hijos de Rivera,Galatea Spirits AB,,,4.7%,FS,0,0,"Kornmalt, majs och humle."
145414,586898,1454,Pistonhead,Kustom Lager,9.900,1.000,330,30,2011-10-01,,"ol, Ljus lager",Burk,,"Dalarnas lan, Ludvika kommun",Sverige,Spendrups,Spendrups Bryggeri AB,,,4.9%,FS,1,0,"Pilsnermalt och humlesorterna magnum, amarillo och cascade."
145703,214799,1457,abro Sigill,,11.900,,330,36.06,2006-10-02,,"ol, Ljus lager",Flaska,,"Kalmar lan, Vimmerby kommun",Sverige,abro Bryggeri,abro Bryggeri,,,5.2%,FS,1,0,Kornmalt.
145803,826690,1458,Backyard Brew,Bomble Bee 17,10.900,1.000,330,33.03,2014-06-02,,"ol, Ljus lager",PET-flaska,,,Sverige,Carlsberg Sverige AB,Carlsberg Sverige AB,,,4.7%,FS,0,0,Kornmalt och humle.
145815,741514,1458,Backyard Brew,Bomble Bee 17,9.900,1.000,330,30,2013-06-01,,"ol, Ljus lager",Burk,,,Sverige,Carlsberg Sverige AB,Carlsberg Sverige AB,,,4.7%,BS,0,0,
145901,516291,1459,Wisby Weisse,,26.400,,500,52.8,2010-10-01,,"ol, Veteol",Flaska,,"Gotlands lan, Gotland",Sverige,Gotlands Bryggeri,Spendrups Bryggeri AB,,,5.2%,FS,0,0,Vete- och kornmalt samt humle.
146012,508110,1460,Dansk Fadøl,,8.500,1.000,330,25.76,2011-11-01,,"ol, Ljus lager",Burk,,,Sverige,Kopparbergs/Sofiero Bryggeri,KopparbergsSofiero Bryggeri,,,5%,FS,0,0,Kornmalt och humle.
