"","nr","Artikelid","Varnummer","Namn","Namn2","Prisinklmoms","Pant","Volymiml","PrisPerLiter","Saljstart","Slutlev","Varugrupp","Forpackning","Forslutning","Ursprung","Ursprunglandnamn","Producent","Leverantor","Argang","Provadargang","Alkoholhalt","Sortiment","Ekologisk","Koscher","RavarorBeskrivning","fyllighet","stravhet","fruktsyra","druva","smak","doft","real_score"
"2421",535301,579556,5353,"Pasqua Ripasso","Valpolicella",95,NA,750,126.67,"2011-05-05",NA,"Rott vin, Kryddigt & Mustigt","Flaska","Naturkork","Venetien, Valpolicella, Valpolicella Superiore","Italien","Pasqua","Enjoy Wine & Spirits AB",2011,2011,"13.5%","FS",0,0,"60% corvina, 20% rondinella, 10% corvinone och 10% negrara.","8 ","7 ","9 ","60%,corvina,20%,rondinella,10%,corvinone,och,10%,negrara","Kryddig.smak.inslag.körsbär.blåbär.lakrits.örter ","Kryddig.doft.inslag.körsbär.björnbär.örter.vanilj",99
"2422",535401,584124,5354,"Tommasi Graticcio Appassionato","",89,NA,750,118.67,"2011-05-30",NA,"Rott vin, Kryddigt & Mustigt","Flaska","Skruvkapsyl","","Italien","Tommasi Viticoltori","Hermansson & Co AB",2012,2012,"13%","FS",0,0,"Corvina veronese, rondinella och oseleta.","8 ","7 ","9 ","Corvina,veronese,rondinella,och,oseleta","Kryddig.aningen.utvecklad.smak.inslag.mörka.körsbär.örter.russin.kakao ","Kryddig.aningen.utvecklad.doft.inslag.torkade.körsbär.salvia.russin.mörk.choklad.kanel",99
"2423",535402,793373,5354,"Tommasi Graticcio Appassionato","",55,NA,375,146.67,"2013-10-01",NA,"Rott vin, Kryddigt & Mustigt","Flaska","Skruvkapsyl","","Italien","Tommasi Viticoltori","Hermansson & Co AB",2012,2012,"13%","FS",0,0,"Corvina veronese, rondinella och oseleta.","8 ","7 ","9 ","Corvina,veronese,rondinella,och,oseleta","Kryddig.aningen.utvecklad.smak.inslag.mörka.körsbär.örter.russin.kakao ","Kryddig.aningen.utvecklad.doft.inslag.torkade.körsbär.salvia.russin.mörk.choklad.kanel",99
"2424",535408,718246,5354,"Tommasi Graticcio Appassionato","",285,NA,3000,95,"2012-12-07",NA,"Rott vin, Kryddigt & Mustigt","Box","Vingtapp","","Italien","Tommasi Viticoltori","Hermansson & Co AB",2012,2012,"13%","FS",0,0,"Corvina veronese, rondinella och oseleta.","8 ","7 ","9 ","Corvina,veronese,rondinella,och,oseleta","Kryddig.aningen.utvecklad.smak.inslag.mörka.körsbär.örter.russin.kakao ","Kryddig.aningen.utvecklad.doft.inslag.torkade.körsbär.salvia.russin.mörk.choklad.kanel",99
"2425",535701,590565,5357,"Cautivo","Reserva",95,NA,750,126.67,"2011-10-01",NA,"Rott vin","Flaska","Naturkork","Rioja","Spanien","Bodegas Heredad de Baroja","Stockholm Wine Importers AB",2008,NA,"14%","BS",0,0,"","inte testat","inte testat","inte testat","Ingen anged","inte testat","inte testat",99
"2426",535801,591000,5358,"Soprasasso","Valpolicella Ripasso",99,NA,750,132,"2011-06-22",NA,"Rott vin, Kryddigt & Mustigt","Flaska","Naturkork","Venetien, Valpolicella","Italien","MGM Mondo del Vino","Mondo Wine Sweden AB",2012,2012,"13.5%","FS",0,0,"","7 ","6 ","9 ","Ingen anged","Kryddig.smak.inslag.körsbär.färska.örter.lakrits ","Kryddig.doft.inslag.körsbär.mandel.mjölkchoklad.örter",99
"2429",536101,619836,5361,"Bourgogne Cuvée Prestige","Francois Martenot Pinot Noir",99,NA,750,132,"2011-10-01",NA,"Rott vin, Mjukt & Barigt","Flaska","Skruvkapsyl","Bourgogne","Frankrike","Francois Martenot","Apricot AB",2012,2012,"12.5%","FS",0,0,"Pinot noir.","5 ","5 ","9 ","Pinot,noir","Bärig.kryddig.smak.inslag.hallon.muskot.kanel.jordgubbar.lingon ","Kryddig.doft.inslag.hallon.jordgubbar.muskot.kanel",99
"2432",536601,663211,5366,"Mauro","Ripasso",89,NA,750,118.67,"2012-05-04",NA,"Rott vin","Flaska","Naturkork","Venetien, Valpolicella","Italien","Oenoforos","Oenoforos AB",2011,NA,"14%","BS",0,0,"","inte testat","inte testat","inte testat","Ingen anged","inte testat","inte testat",99
"2433",536701,663219,5367,"Allegrini","Belpasso",89,NA,750,118.67,"2012-04-18",NA,"Rott vin","Flaska","Naturkork","","Italien","Allegrini","The WineAgency Sweden AB",2011,NA,"13.5%","BS",0,0,"","inte testat","inte testat","inte testat","Ingen anged","inte testat","inte testat",99
"2455",539501,856893,5395,"Gevrey-Chambertin La Justice","Domaine René Bouvier",349,NA,750,465.33,"2014-09-01",NA,"Rott vin, Kryddigt & Mustigt","Flaska","Naturkork","Bourgogne, Côte de Nuits, Gevrey-Chambertin","Frankrike","Domaine René Bouvier","Fondberg",2012,2012,"13%","FSN",0,0,"Pinot noir.","7 ","6 ","10","Pinot,noir","Nyanserad.kryddig.smak.karaktär.rostade.ekfat.inslag.jordgubbar.kaffe.peppar.choklad.körsbär.sandelträ ","Nyanserad.kryddig.doft.karaktär.rostade.ekfat.inslag.jordgubbar.kaffe.choklad.mörka.sandelträ",99
