nr,Artikelid,Varnummer,Namn,Namn2,Prisinklmoms,Pant,Volymiml,PrisPerLiter,Saljstart,Slutlev,Varugrupp,Forpackning,Forslutning,Ursprung,Ursprunglandnamn,Producent,Leverantor,Argang,Provadargang,Alkoholhalt,Sortiment,Ekologisk,Koscher,RavarorBeskrivning,fyllighet,stravhet,fruktsyra,smak,doft
1261501,12483,12615,Vi�a Herminia,,64,NA,750,85.33,1997-09-01,NA,"Rott vin, Mjukt & Barigt",Flaska,Skruvkapsyl,Rioja,Spanien,Vi�a Herminia,janake wine group AB,2013,2013,13.5%,FS,0,0,Tempranillo 100%,5,5,9,barig.aningen kryddig.blabar.korsbar.lakrits,barig.nagot kryddig.skogsbar.orter.lakrits
1265501,848601,12655,Stone Valley,Shiraz,69,NA,750,92,2014-09-01,NA,"Rott vin, Fruktigt & Smakrikt",Flaska,Skruvkapsyl,Kalifornien,USA,Goldstone Land Company,Stellan Kramer AB,2013,2013,13.5%,FSN,0,0,"90% shiraz, 5% zinfandel och 5% tannat.",8,7,9,mycket fruktig.fat.bjornbar.viol.blabar.peppar.vanilj,mycket fruktig.fat.bjornbar.mynta.blabar.svartpeppar
1265901,31498,12659,Conde de Valdemar,Crianza,79,NA,750,105.33,2001-11-05,NA,"Rott vin, Kryddigt & Mustigt",Flaska,Skruvkapsyl,Rioja,Spanien,Bodegas Valdemar,Sigva AB,2010,2010,13.5%,FS,0,0,Tempranillo 80% och mazuelo 20%,7,8,9,kryddig.fatkaraktar.korsbar.katrinplommon.vanilj.orter.choklad,kryddig.fatkaraktar.torkade korsbar.katrinplommon.choklad.orter.vanilj
1266901,10304,12669,Lagunilla,Crianza,69,NA,750,92,1996-03-04,NA,"Rott vin, Kryddigt & Mustigt",Flaska,Naturkork,Rioja,Spanien,Bodegas Lagunilla,United Wineries Sweden AB,2010,2010,13.5%,FS,0,0,80% tempranillo och 20% garnacha.,6,6,9,utvecklad.kryddig.fat.torkade korsbar.tobak.vanilj,utvecklad.kryddig.fat.torkade korsbar.tobak.choklad
1267001,10331,12670,El Coto,Crianza,78,NA,750,104,1996-05-20,NA,"Rott vin, Kryddigt & Mustigt",Flaska,Skruvkapsyl,Rioja,Spanien,Bodegas El Coto,Spendrups Bryggeri AB,2010,2010,13%,FS,0,0,Tempranillo.,7,7,9,kryddig.fatkaraktar.korsbar.lakrits.vanilj,kryddig.fatkaraktar.morka korsbar.vanilj.kanel
1267002,14024,12670,El Coto,Crianza,42,NA,375,112,1997-09-01,NA,"Rott vin, Kryddigt & Mustigt",Flaska,Naturkork,Rioja,Spanien,Bodegas El Coto,Spendrups Bryggeri AB,2010,2010,12.5%,FS,0,0,,7,7,9,kryddig.fatkaraktar.korsbar.lakrits.vanilj,kryddig.fatkaraktar.morka korsbar.vanilj.kanel
1267901,338837,12679,Lat 42,Gran Reserva,99,NA,750,132,2008-10-01,NA,"Rott vin, Kryddigt & Mustigt",Flaska,Naturkork,Rioja,Spanien,Torre de O�a,Winepartners Nordic AB,2004,2004,13%,FS,0,0,Tempranillo.,8,8,9,mogen.kryddig.fatkaraktar.dill.torkade korsbar.korinter.tobak.choklad.sandeltra,mogen.kryddig.ursprungstypisk.fatkaraktar.dill.torkade korsbar.choklad.notter.tobak
1269701,11305,12697,Torres Gran Coronas,Cabernet Sauvignon Reserva,99,NA,750,132,1996-09-02,NA,"Rott vin, Fruktigt & Smakrikt",Flaska,Naturkork,Pened�s,Spanien,Miguel Torres,Miguel Torres,2010,2010,14%,FS,0,0,85% cabernet sauvignon och 15% tempranillo.,8,8,9,fruktig.aningen utvecklad.fatkaraktar.svarta vinbar.katrinplommon.choklad.tobak,fruktig.aningen utvecklad.fatkaraktar.svarta vinbar.katrinplommon.kaffe.choklad.tobak
1275501,14540,12755,Torres San Valent�n,Garnacha,65,NA,750,86.67,1998-04-06,NA,"Rott vin, Mjukt & Barigt",Flaska,Naturkork,Catalunya,Spanien,Miguel Torres,Miguel Torres,2013,2013,14%,FS,1,0,Garnacha.,5,4,9,ungdomlig.barig.korsbar.bjornbar.sotlakrits,ungdomlig.barig.korsbar.bjornbar.lakrits
1276801,735658,12768,Bosman,Adama,119,NA,750,158.67,2013-12-02,NA,"Rott vin, Stramt & Nyanserat",Flaska,Naturkork,"Western Cape, Coastal Region, Paarl, Wellington",Sydafrika,Bosman Family Wines,Mondo Wine Sweden AB,2013,2013,14.5%,FS,0,0,80% shiraz och 20% mourv�dre.,10,9,9,fruktig.nyanserad.fatkaraktar.bjornbar.tobak.plommon.peppar.kaffe.kakao,nyanserad.fatkaraktar.bjornbar.tobak.plommon.mork choklad.kaffe
